record_date,debt_outstanding_amt,fiscal_year,fiscal_calendar_note,fedfunds_annual_avg,fedfunds_annual_min,fedfunds_annual_max
1790-01-01,71060508.5,1790,FY=CY (Jan-Dec),,,
1791-01-01,75463476.52,1791,FY=CY (Jan-Dec),,,
1792-01-01,77227924.66,1792,FY=CY (Jan-Dec),,,
1793-01-01,80358634.04,1793,FY=CY (Jan-Dec),,,
1794-01-01,78427404.77,1794,FY=CY (Jan-Dec),,,
1795-01-01,80747587.39,1795,FY=CY (Jan-Dec),,,
1796-01-01,83762172.07,1796,FY=CY (Jan-Dec),,,
1797-01-01,82064479.33,1797,FY=CY (Jan-Dec),,,
1798-01-01,79228529.12,1798,FY=CY (Jan-Dec),,,
1799-01-01,78408669.77,1799,FY=CY (Jan-Dec),,,
1800-01-01,82976294.35,1800,FY=CY (Jan-Dec),,,
1801-01-01,83038050.8,1801,FY=CY (Jan-Dec),,,
1802-01-01,80712632.25,1802,FY=CY (Jan-Dec),,,
1803-01-01,77054686.4,1803,FY=CY (Jan-Dec),,,
1804-01-01,86427120.88,1804,FY=CY (Jan-Dec),,,
1805-01-01,82312150.5,1805,FY=CY (Jan-Dec),,,
1806-01-01,75723270.66,1806,FY=CY (Jan-Dec),,,
1807-01-01,69218398.64,1807,FY=CY (Jan-Dec),,,
1808-01-01,65196317.97,1808,FY=CY (Jan-Dec),,,
1809-01-01,57023192.09,1809,FY=CY (Jan-Dec),,,
1810-01-01,53173217.52,1810,FY=CY (Jan-Dec),,,
1811-01-01,48005587.76,1811,FY=CY (Jan-Dec),,,
1812-01-01,45209737.9,1812,FY=CY (Jan-Dec),,,
1813-01-01,55962827.57,1813,FY=CY (Jan-Dec),,,
1814-01-01,81487846.24,1814,FY=CY (Jan-Dec),,,
1815-01-01,99833660.15,1815,FY=CY (Jan-Dec),,,
1816-01-01,127334933.74,1816,FY=CY (Jan-Dec),,,
1817-01-01,123491965.16,1817,FY=CY (Jan-Dec),,,
1818-01-01,103466633.83,1818,FY=CY (Jan-Dec),,,
1819-01-01,95529648.28,1819,FY=CY (Jan-Dec),,,
